model_name,provider,release_date,model_version,model_type,open_source,license_type,context_window_k,training_cutoff,multimodal,supported_languages,api_available,mmlu_score,humaneval_score,math_score,gpqa_score,arena_elo,gsm8k_score,hellaswag_score,arc_challenge_score,truthfulqa_score,winogrande_score,cost_input_per_1m_usd,cost_output_per_1m_usd,reasoning_model,fine_tuned_variant,base_model,parameter_tier,benchmark_completeness,benchmark_source,notes,parameters_b,model_tier,memory_footprint_gb,release_year,release_quarter,is_target_company
GPT-J 6B,EleutherAI,2021-06-04,v1.0,LLM,Yes,Apache-2.0,2.0,2021-04,No,en,No,36.7,11.4,,,,35.1,66.7,36.4,29.5,63.8,,,No,No,,Small,55,EleutherAI (2021),First open GPT-3 class model,6.0,research,4.0,2021,2021Q2,False
Gopher 280B,DeepMind,2021-12-08,v1.0,LLM,No,Research-only,4.0,2021-06,No,en,No,60.2,,,,,63.0,79.3,58.8,43.3,69.9,,,No,No,,XL,55,Rae et al. 2021 (arXiv:2112.11446),DeepMind 280B; MassiveText,280.0,research,160.0,2021,2021Q4,False
Chinchilla 70B,DeepMind,2022-03-29,v1.0,LLM,No,Research-only,4.0,2022-01,No,en,No,67.6,14.8,,,,74.1,79.8,65.1,45.1,74.4,,,No,No,,XL,55,Hoffmann et al. 2022 (arXiv:2203.15556),Compute-optimal; beat Gopher at 70B,70.0,research,40.0,2022,2022Q1,False
GPT-NeoX 20B,EleutherAI,2022-04-14,v1.0,LLM,Yes,Apache-2.0,4.0,2022-01,No,en,No,33.7,21.3,,,,29.1,72.0,48.3,31.8,68.3,,,No,No,,XL,55,Black et al. 2022 (arXiv:2204.06745),Open replication of GPT-3,20.0,research,12.0,2022,2022Q2,False
OPT 66B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,2.0,2022-01,No,en,No,48.4,4.8,,,,4.0,75.2,57.0,38.9,69.3,,,No,No,,XL,45,Zhang et al. 2022,Largest OPT released,66.0,research,38.0,2022,2022Q2,True
OPT 30B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,2.0,2022-01,No,en,No,44.8,3.5,,,,2.0,72.8,53.3,37.4,67.3,,,No,No,,Large,45,Zhang et al. 2022,,30.0,research,18.0,2022,2022Q2,True
OPT 6.7B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,2.0,2022-01,No,en,No,37.7,2.0,,,,,67.0,44.1,35.6,65.3,,,No,No,,Small,45,Zhang et al. 2022,,6.7,research,4.0,2022,2022Q2,True
OPT 1.3B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,2.0,2022-01,No,en,No,24.6,0.9,,,,,54.8,31.4,31.3,59.4,,,No,No,,Small,45,Zhang et al. 2022 (arXiv:2205.01068),Open Pretrained Transformer,1.3,research,0.7,2022,2022Q2,True
OPT 13B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,2.0,2022-01,No,en,No,41.8,2.4,,,,,69.7,48.3,36.9,66.2,,,No,No,,Medium,45,Zhang et al. 2022,,13.0,research,8.0,2022,2022Q2,True
BLOOM 176B,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,4.0,2022-02,No,multilingual_46,No,26.1,,,,,18.9,66.2,37.9,25.0,61.4,,,No,No,,XL,55,BigScience (2022); arXiv:2211.05100,176B 46 languages,176.0,research,100.0,2022,2022Q3,False
BLOOM 1B7,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,4.0,2022-02,No,multilingual_46,No,24.1,,,,,17.2,56.7,34.2,24.0,56.8,,,No,No,,Small,55,BigScience (2022),,1.7,research,1.0,2022,2022Q3,False
BLOOM 3B,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,4.0,2022-02,No,multilingual_46,No,26.7,,,,,20.2,60.0,37.0,26.1,60.1,,,No,No,,Small,55,BigScience (2022),,3.0,research,2.0,2022,2022Q3,False
BLOOM 560M,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,4.0,2022-02,No,multilingual_46,No,20.9,,,,,14.9,53.7,31.0,21.6,53.8,,,No,No,,Mini,55,BigScience (2022); arXiv:2211.05100,46 languages,0.56,research,0.35,2022,2022Q3,False
BLOOM 7B1,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,4.0,2022-02,No,multilingual_46,No,30.7,,,,,23.2,62.8,39.6,27.7,63.8,,,No,No,,Small,55,BigScience (2022),,7.1,research,4.0,2022,2022Q3,False
GLM-130B,Tsinghua/Zhipu,2022-10-05,v1.0,LLM,Yes,GLM-130B,4.0,2022-06,No,"en,zh",No,44.9,,,,,47.0,71.9,51.3,33.1,64.9,,,No,No,,XL,45,Zeng et al. 2022 (arXiv:2210.02414),Bilingual; 400B token training,130.0,research,75.0,2022,2022Q4,False
FLAN-T5 XL,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.5,2022-06,No,multilingual,No,51.7,,,,,,71.7,51.8,43.1,62.6,,,No,Yes,T5,Small,45,Chung et al. 2022,,3.0,research,2.0,2022,2022Q4,True
FLAN-T5 Base,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.5,2022-06,No,multilingual,No,42.7,,,,,,65.7,43.7,35.8,59.0,,,No,Yes,T5,Small,45,Chung et al. 2022,,0.25,research,0.16,2022,2022Q4,True
FLAN-T5 Large,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.5,2022-06,No,multilingual,No,49.2,,,,,,69.2,48.3,38.7,61.3,,,No,Yes,T5,Small,45,Chung et al. 2022,,0.78,research,0.5,2022,2022Q4,True
FLAN-T5 Small,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.5,2022-06,No,multilingual,No,38.2,,,,,,63.1,39.9,32.7,55.7,,,No,Yes,T5,Mini,45,Chung et al. 2022 (arXiv:2210.11416),Instruction-tuned T5,0.08,research,0.05,2022,2022Q4,True
FLAN-T5 XXL,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.5,2022-06,No,multilingual,No,54.9,,4.9,,,,,,52.3,,,,No,Yes,T5,Large,27,Chung et al. 2022,Flan instruction-tuned T5 11B,11.0,research,6.0,2022,2022Q4,True
BLOOMZ 176B,BigScience,2022-11-03,v1.0,LLM,Yes,BLOOM Rail,4.0,2022-02,No,multilingual_46,No,34.1,,,,,25.8,67.2,41.4,37.2,61.9,,,No,Yes,BLOOM,XL,55,Muennighoff et al. 2022 (arXiv:2211.01786),Multitask instruct-tuned BLOOM,176.0,research,100.0,2022,2022Q4,False
LLaMA 1 13B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,4.0,2022-10,No,en,No,46.9,,,,,46.5,79.9,59.5,36.2,73.0,,,No,No,,Medium,55,Touvron et al. 2023,,13.0,research,8.0,2023,2023Q1,True
LLaMA 1 30B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,4.0,2022-10,No,en,No,58.2,,,,,57.3,82.8,66.6,37.7,75.9,,,No,No,,Large,55,Touvron et al. 2023,,30.0,research,18.0,2023,2023Q1,True
LLaMA 1 65B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,4.0,2022-10,No,en,No,63.7,,,,,62.9,83.8,72.9,42.3,76.7,,,No,No,,XL,55,Touvron et al. 2023,Best open 65B; matched GPT-3,65.0,research,36.0,2023,2023Q1,True
LLaMA 1 7B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,4.0,2022-10,No,en,No,35.3,,,,,36.2,76.1,51.5,32.7,70.2,,,No,No,,Small,55,Touvron et al. 2023 (arXiv:2302.13971),Research only release,7.0,research,4.0,2023,2023Q1,True
FLAN-UL2,Google,2023-03-10,v1.0,LLM,Yes,Apache-2.0,0.5,2022-06,No,multilingual,No,55.9,,6.4,,,,,,52.9,,,,No,Yes,T5,Large,27,Tay et al. 2023 (arXiv:2205.05131),Mixture-of-Denoisers,20.0,research,12.0,2023,2023Q1,True
BloombergGPT,Bloomberg,2023-03-30,v1.0,LLM,No,Proprietary,4.0,2022-12,No,en,No,54.1,,,,,56.2,77.6,61.9,,71.7,,,No,No,,XL,45,Wu et al. 2023 (arXiv:2303.17564),Finance domain LLM,50.0,research,30.0,2023,2023Q1,False
Pythia 12B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,4.0,2022-12,No,en,No,35.9,,,,,32.7,73.1,53.1,30.6,70.4,,,No,No,,Large,55,Biderman et al. 2023,,12.0,research,7.0,2023,2023Q2,False
Pythia 1B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,4.0,2022-12,No,en,No,30.3,,,,,22.0,57.3,37.3,29.0,59.7,,,No,No,,Small,55,Biderman et al. 2023 (arXiv:2304.01373),Interpretability research suite,1.0,research,0.6,2023,2023Q2,False
Pythia 2.8B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,4.0,2022-12,No,en,No,32.7,,,,,27.8,60.0,40.6,30.9,62.0,,,No,No,,Small,55,Biderman et al. 2023,,2.8,research,2.0,2023,2023Q2,False
Pythia 6.9B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,4.0,2022-12,No,en,No,35.9,,,,,31.2,64.1,44.0,33.1,65.1,,,No,No,,Small,55,Biderman et al. 2023,,6.9,research,4.0,2023,2023Q2,False
Dolly 12B,Databricks,2023-04-12,v2.0,LLM,Yes,MIT,4.0,2023-01,No,en,No,38.3,,,,,35.2,68.1,47.2,40.1,63.9,,,No,Yes,Pythia,Large,55,Databricks (Apr 2023),First truly open instruct LLM,12.0,research,7.0,2023,2023Q2,False
StableLM Alpha 7B,Stability AI,2023-04-19,v1.0,LLM,Yes,CC BY-SA-4.0,4.0,2023-01,No,en,No,30.3,,,,,22.7,73.7,47.2,29.1,66.7,,,No,No,,Small,55,Stability AI (Apr 2023),,7.0,research,4.0,2023,2023Q2,False
StableLM Alpha 3B,Stability AI,2023-04-19,v1.0,LLM,Yes,CC BY-SA-4.0,4.0,2023-01,No,en,No,24.2,,,,,15.1,69.3,40.7,25.1,63.2,,,No,No,,Small,55,Stability AI (Apr 2023),,3.0,research,2.0,2023,2023Q2,False
MPT 7B,MosaicML,2023-05-05,v1.0,LLM,Yes,Apache-2.0,2.0,2023-01,No,en,No,27.3,18.5,,,,30.7,75.0,48.8,30.8,68.7,,,No,No,,Small,64,MosaicML (May 2023),ALiBi positional encoding,7.0,research,4.0,2023,2023Q2,False
RedPajama 3B,Together AI,2023-05-05,v1.0,LLM,Yes,Apache-2.0,4.0,2023-01,No,en,No,26.7,,,,,17.9,72.5,43.9,27.2,64.7,,,No,No,,Small,55,Together AI (May 2023),Open LLaMA reproduction,3.0,research,2.0,2023,2023Q2,False
RedPajama 7B,Together AI,2023-05-05,v1.0,LLM,Yes,Apache-2.0,4.0,2023-01,No,en,No,36.0,,,,,30.4,76.2,50.6,31.9,69.1,,,No,No,,Small,55,Together AI (May 2023),,7.0,research,4.0,2023,2023Q2,False
Falcon 40B,TII,2023-05-22,v1.0,LLM,Yes,Apache-2.0,2.0,2023-01,No,multilingual,No,55.2,20.3,,,,54.0,85.0,61.1,33.0,77.8,,,No,No,,XL,73,TII (May 2023); HF Leaderboard,Best open briefly mid-2023,40.0,research,22.0,2023,2023Q2,False
WizardLM 13B,WizardLM,2023-05-26,v1.0,LLM,Yes,Non-commercial,4.0,2023-01,No,en,No,48.3,22.1,,,,49.9,81.3,59.7,43.9,73.2,,,No,Yes,LLaMA 1,Medium,73,Xu et al. 2023 (arXiv:2304.12244),Evol-Instruct,13.0,research,8.0,2023,2023Q2,False
MPT 30B,MosaicML,2023-06-22,v1.0,LLM,Yes,Apache-2.0,8.0,2023-01,No,en,No,46.6,20.7,,,,51.8,79.8,58.0,35.3,73.5,,,No,No,,Large,64,MosaicML (Jun 2023),,30.0,research,18.0,2023,2023Q2,False
LLaMA 2 7B Chat,Meta,2023-07-18,v2.0,LLM,Yes,Llama 2,4.0,2023-01,No,multilingual,Yes,47.9,14.0,4.7,,,20.3,78.3,54.8,45.9,70.8,,,No,Yes,LLaMA 2,Small,82,Meta Llama 2 Report,RLHF instruct-tuned,7.0,research,4.0,2023,2023Q3,True
LLaMA 2 13B,Meta,2023-07-18,v2.0,LLM,Yes,Llama 2,4.0,2023-01,No,multilingual,Yes,55.0,18.1,6.6,,,29.1,80.9,59.0,41.7,72.9,,,No,No,,Medium,82,Meta Llama 2 Report,,13.0,research,8.0,2023,2023Q3,True
LLaMA 2 13B Chat,Meta,2023-07-18,v2.0,LLM,Yes,Llama 2,4.0,2023-01,No,multilingual,Yes,55.8,19.8,7.4,,,33.1,81.4,60.8,48.1,73.6,,,No,Yes,LLaMA 2,Medium,82,Meta Llama 2 Report,,13.0,research,8.0,2023,2023Q3,True
LLaMA 2 70B,Meta,2023-07-18,v2.0,LLM,Yes,Llama 2,4.0,2023-01,No,multilingual,Yes,69.6,29.9,13.1,,,56.8,87.6,67.2,45.2,78.6,,,No,No,,XL,82,Meta Llama 2 Report,Best open-source mid-2023,70.0,research,36.0,2023,2023Q3,True
LLaMA 2 70B Chat,Meta,2023-07-18,v2.0,LLM,Yes,Llama 2,4.0,2023-01,No,multilingual,Yes,69.7,31.6,14.0,,,58.7,88.1,68.4,50.4,79.8,,,No,Yes,LLaMA 2,XL,82,Meta Llama 2 Report,,70.0,research,36.0,2023,2023Q3,True
LLaMA 2 7B,Meta,2023-07-18,v2.0,LLM,Yes,Llama 2,4.0,2023-01,No,multilingual,Yes,45.6,12.7,3.9,,,14.9,76.9,53.6,38.6,69.7,,,No,No,,Small,82,Meta Llama 2 Report (arXiv:2307.09288),Open weights commercial,7.0,research,4.0,2023,2023Q3,True
CodeLlama 34B,Meta,2023-08-24,v1.0,LLM,Yes,Llama 2,16.0,2023-01,No,multilingual,No,,48.7,,,,,,,,,,,No,Yes,LLaMA 2,Large,9,Roziere et al. 2023 (arXiv:2308.12950),Code-tuned Llama 2,34.0,research,20.0,2023,2023Q3,True
Falcon 180B,TII,2023-09-06,v1.0,LLM,Yes,Falcon-180B,2.0,2023-01,No,multilingual,No,71.0,24.0,,,,73.6,88.6,70.0,40.3,79.9,,,No,No,,XL,73,TII (Sep 2023),3.5T tokens,180.0,research,100.0,2023,2023Q3,False
Mistral 7B,Mistral AI,2023-09-27,v1.0,LLM,Yes,Apache-2.0,8.0,2023-06,No,multilingual,Yes,60.3,30.7,13.2,,,51.8,81.6,60.0,41.7,73.0,,,No,No,,Small,82,Mistral AI (Sep 2023),Outperformed Llama 2 13B,7.0,research,4.0,2023,2023Q3,False
OpenChat 3.5,OpenChat,2023-10-12,v3.5,LLM,Yes,Apache-2.0,8.0,2023-06,No,en,No,64.6,28.1,,,,77.3,83.3,64.0,52.3,78.9,,,No,Yes,Mistral 7B,Small,73,Wang et al. 2023 (arXiv:2309.11235),C-RLFT beat GPT-3.5 on some tasks,7.0,research,4.0,2023,2023Q4,False
Yi 34B,01.AI,2023-11-05,v1.0,LLM,Yes,Yi,4.0,2023-06,No,"en,zh",Yes,76.3,26.4,,,,76.3,85.8,75.3,,79.0,,,No,No,,Large,64,01.AI (Nov 2023),Top open bilingual late 2023,34.0,research,20.0,2023,2023Q4,False
Zephyr 7B Beta,HuggingFace H4,2023-11-08,v1.0,LLM,Yes,MIT,32.0,2023-06,No,en,No,61.6,22.5,,,,75.7,84.9,62.4,58.5,77.8,,,No,Yes,Mistral 7B,Small,73,HuggingFace H4 (Nov 2023),DPO improved version,7.0,research,4.0,2023,2023Q4,False
OpenHermes 2.5,NousResearch,2023-11-10,v2.5,LLM,Yes,Apache-2.0,8.0,2023-06,No,en,No,69.1,48.0,28.0,,,74.9,83.7,73.4,52.0,75.7,,,No,Yes,Mistral 7B,Small,82,NousResearch (Nov 2023),High-quality synthetic data fine-tune,7.0,research,4.0,2023,2023Q4,False
Orca 2 13B,Microsoft Research,2023-11-18,v2.0,LLM,Yes,MIT,4.0,2023-06,No,en,No,63.0,28.1,18.3,,,71.1,79.2,66.6,50.9,73.8,,,No,Yes,LLaMA 2,Medium,73,Mitra et al. 2023 (arXiv:2311.11045),Teacher-student reasoning,13.0,research,8.0,2023,2023Q4,False
Meditron 70B,EPFL,2023-11-27,v1.0,LLM,Yes,Llama 2,4.0,2023-01,No,en,No,66.4,,,,,,,,,,,,No,Yes,LLaMA 2,XL,9,Chen et al. 2023 (arXiv:2311.16079),Medical knowledge LLM,70.0,research,38.0,2023,2023Q4,False
Mistral 7B Instruct v0.2,Mistral AI,2023-12-11,v0.2,LLM,Yes,Apache-2.0,32.0,2023-06,No,multilingual,Yes,61.3,31.2,14.1,,,52.8,81.6,60.6,50.1,74.1,,,No,Yes,Mistral 7B,Small,82,Mistral AI (Dec 2023),32k context,7.0,research,4.0,2023,2023Q4,False
Mixtral 8x7B,Mistral AI,2023-12-11,v1.0,LLM (MoE),Yes,Apache-2.0,32.0,2023-06,No,multilingual,Yes,70.7,39.9,28.2,,,74.2,86.4,69.9,46.2,79.4,,,No,No,,Large,82,Mistral AI (Dec 2023),First public MoE,47.0,research,26.0,2023,2023Q4,False
Mixtral 8x7B Instruct,Mistral AI,2023-12-11,v1.0,LLM (MoE),Yes,Apache-2.0,32.0,2023-06,No,multilingual,Yes,71.3,41.0,28.7,,,74.6,86.8,70.5,51.7,80.0,,,No,Yes,Mixtral 8x7B,Large,91,Mistral AI,Instruct version,47.0,research,26.0,2023,2023Q4,False
Phi-2,Microsoft,2023-12-12,v2.0,LLM,Yes,MIT,2.0,2023-06,No,en,No,57.5,46.9,25.7,,,,73.0,61.2,,73.3,,,No,No,,Small,55,Microsoft (Dec 2023),2.7B outperforms 7B models,2.7,research,1.5,2023,2023Q4,False
InternLM2 20B,Shanghai AI Lab,2024-01-17,v2.0,LLM,Yes,Apache-2.0,200.0,2023-12,No,"en,zh",No,72.1,51.5,54.5,,,86.7,85.2,80.3,,79.0,,,No,No,,Large,64,InternLM2 (Jan 2024),,20.0,research,12.0,2024,2024Q1,False
CodeLlama 70B,Meta,2024-01-29,v1.1,LLM,Yes,Llama 2,100.0,2023-06,No,multilingual,No,,67.6,,,,,,,,,,,No,Yes,LLaMA 2,XL,9,Meta (Jan 2024),Best open code before SC2,70.0,research,38.0,2024,2024Q1,True
StarCoder2 15B,HuggingFace/ServiceNow,2024-02-28,v2.0,LLM,Yes,BigCode OpenRAIL-M,16.0,2024-01,No,multilingual,No,,46.6,,,,,,,,,,,No,No,,Medium,9,Li et al. 2024 (arXiv:2402.19173),Best open code 15B,15.0,research,8.0,2024,2024Q1,False
Grok 1,xAI,2024-03-17,v1.0,LLM,Yes,Apache-2.0,8.0,2023-10,No,en,No,73.0,63.5,23.8,,,62.9,83.8,73.7,45.0,73.7,,,No,No,,XL,82,xAI (Mar 2024),First open-weight Grok,314.0,research,160.0,2024,2024Q1,False
Mixtral 8x22B,Mistral AI,2024-04-10,v1.0,LLM (MoE),Yes,Apache-2.0,65.0,2024-01,No,multilingual,Yes,78.0,44.8,41.6,,,89.4,89.0,82.0,49.1,82.7,,,No,No,,XL,82,Mistral AI (Apr 2024),Larger MoE,141.0,research,80.0,2024,2024Q2,False
LLaMA 3 70B,Meta,2024-04-18,v3.0,LLM,Yes,Llama 3,8.0,2023-12,No,multilingual,Yes,82.0,81.9,50.5,,,92.9,87.9,87.8,44.8,81.8,,,No,No,,XL,82,Meta Llama 3 release,,70.0,research,38.0,2024,2024Q2,True
LLaMA 3 70B Instruct,Meta,2024-04-18,v3.0,LLM,Yes,Llama 3,8.0,2023-12,No,multilingual,Yes,82.3,82.2,50.7,,,93.1,88.1,88.1,52.2,81.5,,,No,Yes,LLaMA 3,XL,91,Meta Llama 3 release,Best open instruct Apr 2024,70.0,research,38.0,2024,2024Q2,True
LLaMA 3 8B,Meta,2024-04-18,v3.0,LLM,Yes,Llama 3,8.0,2023-12,No,multilingual,Yes,68.6,62.5,29.6,,,79.5,81.9,78.4,43.8,73.2,,,No,No,,Small,82,Meta Llama 3 release (Apr 2024),Outperforms Llama 2 70B,8.0,research,5.0,2024,2024Q2,True
LLaMA 3 8B Instruct,Meta,2024-04-18,v3.0,LLM,Yes,Llama 3,8.0,2023-12,No,multilingual,Yes,69.2,62.8,30.3,,,79.7,82.1,79.3,51.6,73.1,,,No,Yes,LLaMA 3,Small,82,Meta Llama 3 release,,8.0,research,5.0,2024,2024Q2,True
Phi-3 Mini 128K,Microsoft,2024-04-23,v3.0,LLM,Yes,MIT,128.0,2023-10,No,en,Yes,68.5,57.0,37.1,,,84.2,73.6,77.9,45.1,73.7,,,No,No,,Small,73,Microsoft (Apr 2024),Mobile-capable 3.8B,3.8,research,2.0,2024,2024Q2,False
DeepSeek V2,DeepSeek,2024-05-06,v2.0,LLM (MoE),Yes,DeepSeek,128.0,2023-12,No,"en,zh",Yes,78.7,81.2,73.0,,,92.1,88.1,85.3,,80.8,,,No,No,,XL,73,DeepSeek-AI (May 2024),MoE 236B total 21B active,236.0,research,,2024,2024Q2,False
Yi 1.5 34B,01.AI,2024-05-13,v1.5,LLM,Yes,Apache-2.0,200.0,2023-12,No,"en,zh",Yes,76.7,43.1,50.4,,,84.1,85.8,79.0,,79.8,,,No,No,,Large,73,01.AI (May 2024),200k context,34.0,research,20.0,2024,2024Q2,False
Falcon 2 11B,TII,2024-05-14,v2.0,LLM,Yes,Apache-2.0,8.0,2023-12,No,multilingual,No,62.0,44.8,24.1,,,78.2,81.9,78.0,42.8,76.1,,,No,No,,Medium,73,TII (May 2024),Updated architecture,11.0,research,6.0,2024,2024Q2,False
Phi-3 Medium 4K,Microsoft,2024-05-21,v3.0,LLM,Yes,MIT,4.0,2023-10,No,multilingual,Yes,77.6,70.7,52.7,,,90.0,82.9,83.4,47.3,77.7,,,No,No,,Medium,73,Microsoft (May 2024),Strong STEM reasoning,14.0,research,8.0,2024,2024Q2,False
Qwen 2 72B Instruct,Alibaba,2024-06-07,v2.0,LLM,Yes,Apache-2.0,128.0,2024-04,No,multilingual,Yes,84.8,86.3,71.1,,,93.8,89.6,88.2,46.6,82.1,,,No,Yes,Qwen 2,XL,82,Alibaba Qwen 2 release,Beat LLaMA 3.1 70B on many tasks,72.0,research,40.0,2024,2024Q2,False
Nemotron 4 340B,NVIDIA,2024-06-14,v4.0,LLM,Yes,NVIDIA Open Model,4.0,2023-12,No,multilingual,Yes,79.1,72.9,41.2,,,91.9,88.1,88.4,47.8,81.4,,,No,No,,XL,82,NVIDIA (Jun 2024),Synthetic data specialist,340.0,research,180.0,2024,2024Q2,True
Gemma 2 27B,Google,2024-06-27,v2.0,LLM,Yes,Gemma,8.0,2024-03,No,en,No,75.5,51.5,46.1,,,86.0,83.0,81.6,48.0,78.1,,,No,No,,Large,82,Google Gemma 2,Best open <30B mid-2024,27.0,research,15.0,2024,2024Q2,True
Gemma 2 9B,Google,2024-06-27,v2.0,LLM,Yes,Gemma,8.0,2024-03,No,en,No,71.1,40.3,36.6,,,82.6,81.4,77.1,45.8,76.0,,,No,No,,Small,82,Google Gemma 2 (Jun 2024),,9.0,research,5.0,2024,2024Q2,True
Mistral Nemo,Mistral AI,2024-07-18,v1.0,LLM,Yes,Apache-2.0,128.0,2024-04,No,multilingual,Yes,68.4,53.9,34.1,,,78.0,84.6,78.7,43.1,76.1,,,No,No,,Medium,82,Mistral AI/NVIDIA (Jul 2024),12B NVIDIA collab,12.0,research,7.0,2024,2024Q3,False
LLaMA 3.1 405B,Meta,2024-07-23,v3.1,LLM,Yes,Llama 3.1,128.0,2023-12,No,multilingual,Yes,88.6,89.0,73.8,,,97.2,89.2,89.8,48.0,84.2,,,No,No,,XL,91,Meta Llama 3.1; vellum.ai,First open to rival GPT-4o,405.0,research,220.0,2024,2024Q3,True
LLaMA 3.1 70B,Meta,2024-07-23,v3.1,LLM,Yes,Llama 3.1,128.0,2023-12,No,multilingual,Yes,85.7,80.6,68.1,,,94.8,88.6,89.4,46.7,82.3,,,No,No,,Large,91,Meta Llama 3.1; vellum.ai,,70.0,research,38.0,2024,2024Q3,True
LLaMA 3.1 70B Instruct,Meta,2024-07-23,v3.1,LLM,Yes,Llama 3.1,128.0,2023-12,No,multilingual,Yes,86.2,80.8,68.1,,,95.4,88.6,89.5,53.5,83.0,,,No,Yes,LLaMA 3.1,Large,91,Meta; vellum.ai Sep 2024,,70.0,research,38.0,2024,2024Q3,True
LLaMA 3.1 8B,Meta,2024-07-23,v3.1,LLM,Yes,Llama 3.1,128.0,2023-12,No,multilingual,Yes,73.3,68.1,28.3,,,83.6,82.1,79.9,44.5,73.6,,,No,No,,Small,82,Meta Llama 3.1 (Jul 2024),128k context,8.0,research,5.0,2024,2024Q3,True
LLaMA 3.1 8B Instruct,Meta,2024-07-23,v3.1,LLM,Yes,Llama 3.1,128.0,2023-12,No,multilingual,Yes,73.2,68.3,28.2,,,84.2,82.7,79.5,51.8,74.5,,,No,Yes,LLaMA 3.1,Small,91,Meta Llama 3.1,,8.0,research,5.0,2024,2024Q3,True
Qwen 2.5 72B,Alibaba,2024-09-19,v2.5,LLM,Yes,Apache-2.0,128.0,2024-06,No,multilingual,Yes,86.0,86.7,75.5,,,95.3,89.8,89.2,50.2,83.4,,,No,No,,XL,91,Alibaba Qwen 2.5; vellum.ai,Best open model Q4 2024,72.0,research,40.0,2024,2024Q3,False
Qwen 2.5 7B,Alibaba,2024-09-19,v2.5,LLM,Yes,Apache-2.0,128.0,2024-06,No,multilingual,Yes,74.0,84.9,75.2,,,92.1,81.9,82.1,,78.3,,,No,No,,Small,64,Alibaba Qwen 2.5 (Sep 2024),Strong 7B,7.0,research,4.0,2024,2024Q3,False
LLaMA 3.2 90B Vision,Meta,2024-09-25,v3.2,Multimodal,Yes,Llama 3.2,128.0,2023-12,Yes,multilingual,Yes,85.8,80.6,65.8,,,93.4,88.6,89.1,45.7,82.3,,,No,No,,Large,91,Meta Llama 3.2,Best open multimodal late 2024,90.0,research,50.0,2024,2024Q3,True
LLaMA 3.2 3B,Meta,2024-09-25,v3.2,LLM,Yes,Llama 3.2,128.0,2023-12,No,multilingual,Yes,57.7,24.7,,,,60.3,78.2,67.3,40.2,66.7,,,No,No,,Small,73,Meta Llama 3.2,Edge 3B,3.0,research,1.5,2024,2024Q3,True
LLaMA 3.2 11B Vision,Meta,2024-09-25,v3.2,Multimodal,Yes,Llama 3.2,128.0,2023-12,Yes,multilingual,Yes,72.9,64.6,31.7,,,85.0,83.3,79.9,44.2,74.1,,,No,No,,Medium,82,Meta Llama 3.2,Vision 11B,11.0,research,6.0,2024,2024Q3,True
LLaMA 3.2 1B,Meta,2024-09-25,v3.2,LLM,Yes,Llama 3.2,128.0,2023-12,No,multilingual,Yes,31.9,8.4,,,,23.3,60.6,39.7,36.6,57.7,,,No,No,,Mini,73,Meta Llama 3.2,Edge/mobile 1B,1.0,research,0.5,2024,2024Q3,True
Qwen 2.5 Coder 32B,Alibaba,2024-11-12,v2.5,LLM,Yes,Apache-2.0,128.0,2024-06,No,multilingual,Yes,,92.6,,,,,,,,,,,No,Yes,Qwen 2.5,Large,9,Alibaba (Nov 2024),Topped HumanEval open models,32.0,research,18.0,2024,2024Q4,False
OLMo 2 7B,AllenAI,2024-11-21,v2.0,LLM,Yes,Apache-2.0,4.0,2024-08,No,en,No,63.8,44.6,37.0,,,82.3,77.0,72.2,39.9,74.3,,,No,No,,Small,73,AllenAI (Nov 2024),Fully open,7.0,research,4.0,2024,2024Q4,False
Command R7B,Cohere,2024-12-05,v1.0,LLM,Yes,CC BY-NC,128.0,2024-04,No,multilingual,Yes,68.5,48.7,37.2,,,78.6,83.4,78.5,44.8,77.9,,,No,No,,Small,82,Cohere (Dec 2024),Open-weights 7B Command R,7.0,research,4.0,2024,2024Q4,False
